txn_id,ground_truth_match,noise_type
TXN_00159,UTR_00159,clean
TXN_00160,UTR_00160_A|UTR_00160_B,duplicate
TXN_00161,UTR_00161,clean
TXN_00162,UTR_00162,clean
TXN_00163,UTR_00163,clean
TXN_00164,UTR_00164,clean
TXN_00165,UTR_00165,clean
TXN_00166,UTR_00166,clean
TXN_00167,UTR_00167,clean
TXN_00168,UTR_00168,clean
TXN_00169,UTR_00169,clean
TXN_00170,UTR_00170,clean
TXN_00171,PAY_00171,missing_ref
TXN_00172,UTR_00172,rounding
TXN_00173,UTR_00173,clean
TXN_00174,UTR_00174,rounding
TXN_00175,UTR_00175,clean
TXN_00176,UTR_00176,clean
TXN_00177,UTR_00177,clean
TXN_00178,UTR_00178,clean
TXN_00179,UTR_00179,clean
TXN_00180,UTR_00180,clean
TXN_00181,UTR_00181,clean
TXN_00182,UTR_00182,clean
TXN_00183,UTR_00183,clean
TXN_00184,UTR_00184,clean
TXN_00185,UTR_00185,clean
TXN_00186,UTR_00186,clean
TXN_00187,UTR_00187,clean
TXN_00188,PAY_00188,missing_ref
TXN_00189,UTR_00189_A|UTR_00189_B,duplicate
TXN_00190,PAY_00190,missing_ref
TXN_00191,UTR_00191,clean
TXN_00192,UTR_00192,clean
TXN_00193,UTR_00193,clean
TXN_00194,UTR_00194,clean
TXN_00195,UTR_00195,clean
TXN_00196,UTR_00196,clean
TXN_00197,UTR_00197,clean
TXN_00198,UTR_00198,clean
TXN_00199,UTR_00199,clean
TXN_00200,UTR_00200_A|UTR_00200_B,duplicate
TXN_00201,UTR_00201,clean
TXN_00202,UTR_00202,clean
TXN_00203,UTR_00203,clean
TXN_00204,UTR_00204_A|UTR_00204_B,partial_refund
TXN_00205,UTR_00205,rounding
TXN_00206,UTR_00206,clean
TXN_00207,UTR_00207,rounding
TXN_00208,UTR_00208,clean
TXN_00209,UTR_00209,clean
TXN_00210,UTR_00210,timing_offset
TXN_00211,UTR_00211,clean
TXN_00212,UTR_00212_A|UTR_00212_B,duplicate
TXN_00213,UTR_00213,clean
TXN_00214,UTR_00214,clean
TXN_00215,UTR_00215,clean
TXN_00216,UTR_00216_A|UTR_00216_B,partial_refund
TXN_00217,UTR_00217,clean
TXN_00218,UTR_00218,clean
TXN_00219,UTR_00219,clean
TXN_00220,UTR_00220_A|UTR_00220_B,duplicate
TXN_00221,UTR_00221,clean
TXN_00222,UTR_00222,clean
TXN_00223,PAY_00223,missing_ref
TXN_00224,UTR_00224,clean
TXN_00225,UTR_00225,clean
TXN_00226,UTR_00226,rounding
TXN_00227,UTR_00227,clean
TXN_00228,UTR_00228,clean
TXN_00229,UTR_00229,clean
TXN_00230,UTR_00230_A|UTR_00230_B,duplicate
TXN_00231,UTR_00231,clean
TXN_00232,PAY_00232,missing_ref
TXN_00233,UTR_00233,clean
TXN_00234,UTR_00234,clean
TXN_00235,PAY_00235,missing_ref
TXN_00236,UTR_00236,clean
TXN_00237,UTR_00237,clean
TXN_00238,UTR_00238,clean
TXN_00239,UTR_00239,clean
TXN_00240,UTR_00240,clean
TXN_00241,UTR_00241,clean
TXN_00242,UTR_00242,rounding
TXN_00243,UTR_00243,clean
TXN_00244,UTR_00244_A|UTR_00244_B,duplicate
TXN_00245,UTR_00245,clean
TXN_00246,UTR_00246,rounding
TXN_00247,UTR_00247_A|UTR_00247_B,partial_refund
TXN_00248,UTR_00248,clean
TXN_00249,UTR_00249_A|UTR_00249_B,duplicate
TXN_00250,UTR_00250,clean
TXN_00251,UTR_00251,rounding
TXN_00252,UTR_00252,rounding
TXN_00253,UTR_00253,clean
TXN_00254,UTR_00254,clean
TXN_00255,UTR_00255,clean
TXN_00256,UTR_00256,clean
TXN_00257,UTR_00257,clean
TXN_00258,PAY_00258,missing_ref
TXN_00259,UTR_00259,clean
TXN_00260,UTR_00260_A|UTR_00260_B,duplicate
TXN_00261,UTR_00261,clean
TXN_00262,UTR_00262,rounding
TXN_00263,UTR_00263,clean
TXN_00264,UTR_00264,clean
TXN_00265,UTR_00265,clean
TXN_00266,PAY_00266,missing_ref
TXN_00267,UTR_00267,clean
TXN_00268,UTR_00268,clean
TXN_00269,UTR_00269,clean
TXN_00270,UTR_00270,clean
TXN_00271,UTR_00271,clean
TXN_00272,UTR_00272_A|UTR_00272_B,partial_refund
TXN_00273,UTR_00273,clean
TXN_00274,UTR_00274,clean
TXN_00275,UTR_00275,clean
TXN_00276,UTR_00276,timing_offset
TXN_00277,UTR_00277,rounding
TXN_00278,UTR_00278,clean
TXN_00279,UTR_00279,clean
TXN_00280,UTR_00280,clean
TXN_00281,UTR_00281,clean
TXN_00282,UTR_00282,clean
TXN_00283,UTR_00283,clean
TXN_00284,UTR_00284,rounding
TXN_00285,UTR_00285,clean
TXN_00286,UTR_00286,clean
TXN_00287,UTR_00287,clean
TXN_00288,PAY_00288,missing_ref
TXN_00289,UTR_00289,rounding
TXN_00290,UTR_00290,rounding
TXN_00291,UTR_00291,clean
TXN_00292,PAY_00292,missing_ref
TXN_00293,UTR_00293,clean
TXN_00294,PAY_00294,missing_ref
TXN_00295,UTR_00295_A|UTR_00295_B,partial_refund
TXN_00296,UTR_00296,clean
TXN_00297,UTR_00297,clean
TXN_00298,UTR_00298,clean
TXN_00299,UTR_00299,rounding
TXN_00300,UTR_00300_A|UTR_00300_B,duplicate
